CRIM,ZN,INDUS,CHAS,RM,PTRATIO,MEDV
0.00632,18.0,2.31,0,6,15.3,24.0
0.02731,0.0,7.07,0,6,17.8,21.6
0.02729,0.0,7.07,0,7,17.8,34.7
0.03237,0.0,2.18,0,6,18.7,33.4
0.06905,0.0,2.18,0,7,18.7,36.2
0.02985,0.0,2.18,0,6,18.7,28.7
0.08829,12.5,7.87,0,6,15.2,22.9
0.14455,12.5,7.87,0,6,15.2,22.1
0.21124,12.5,7.87,0,5,15.2,16.5
0.17004,12.5,7.87,0,6,15.2,18.9
0.22489,12.5,7.87,0,6,15.2,15.0
0.11747,12.5,7.87,0,6,15.2,18.9
0.09378,12.5,7.87,0,5,15.2,21.7
0.62976,0.0,8.14,0,5,21.0,20.4
0.63796,0.0,8.14,0,6,21.0,18.2
0.62739,0.0,8.14,0,5,21.0,19.9
1.05393,0.0,8.14,0,5,21.0,23.1
0.7842,0.0,8.14,0,5,21.0,17.5
0.80271,0.0,8.14,0,5,21.0,20.2
0.7258,0.0,8.14,0,5,21.0,18.2
1.25179,0.0,8.14,0,5,21.0,13.6
0.85204,0.0,8.14,0,5,21.0,19.6
1.23247,0.0,8.14,0,6,21.0,15.2
0.98843,0.0,8.14,0,5,21.0,14.5
0.75026,0.0,8.14,0,5,21.0,15.6
0.84054,0.0,8.14,0,5,21.0,13.9
0.67191,0.0,8.14,0,5,21.0,16.6
0.95577,0.0,8.14,0,6,21.0,14.8
0.77299,0.0,8.14,0,6,21.0,18.4
1.00245,0.0,8.14,0,6,21.0,21.0
1.13081,0.0,8.14,0,5,21.0,12.7
1.35472,0.0,8.14,0,6,21.0,14.5
1.38799,0.0,8.14,0,5,21.0,13.2
1.15172,0.0,8.14,0,5,21.0,13.1
1.61282,0.0,8.14,0,6,21.0,13.5
0.06417,0.0,5.96,0,5,19.2,18.9
0.09744,0.0,5.96,0,5,19.2,20.0
0.08014,0.0,5.96,0,5,19.2,21.0
0.17505,0.0,5.96,0,5,19.2,24.2
0.02763,75.0,2.95,0,6,18.3,30.8
0.03359,75.0,2.95,0,7,18.3,34.9
0.12744,0.0,6.91,0,6,17.9,26.6
0.1415,0.0,6.91,0,6,17.9,25.3
0.15936,0.0,6.91,0,6,17.9,24.7
0.12269,0.0,6.91,0,6,17.9,21.2
0.17142,0.0,6.91,0,5,17.9,19.3
0.18836,0.0,6.91,0,5,17.9,20.0
0.22927,0.0,6.91,0,6,17.9,16.6
0.25387,0.0,6.91,0,5,17.9,14.4
0.21977,0.0,6.91,0,5,17.9,19.4
0.08873,21.0,5.64,0,5,16.8,19.7
0.04337,21.0,5.64,0,6,16.8,20.5
